,Unit,Codes
12104,SBPSxc/01,NA
12110,SBPSxc/02,NA
12121,SBPSxc/03,NA
12122,SBPSxc/04,NA
12124,SBPSxc/05,NA
12129,SBPSxc/06,NA
12133,SBSdh1/01,NA
12139,SBSdh1/02,NA
12143,SBSdh1/03,NA
12145,SBSdh1/04,NA
12149,SBSdh1/05,NA
12156,SBSdh1/06,NA
12162,SBSdh1/07,NA
12168,SBSdh1/08,NA
12171,SBSdh2/01,NA
12177,SBSdh2/02,NA
12181,SBSdh2/03,NA
12185,SBSdh2/04,NA
12189,SBSdh2/05,NA
12197,SBSdh2/06,NA
12201,SBSdh2/07,NA
12210,SBSdh2/08,NA
12212,SBSdk/01,NA
12217,SBSdk/02,NA
12219,SBSdk/03,NA
12222,SBSdk/04,NA
12225,SBSdk/05,NA
12229,SBSdk/06,NA
12233,SBSdk/07,NA
12238,SBSdk/08,Fm
12241,SBSdk/09,NA
12245,SBSdk/10,NA
12249,SBSdk/Gg,NA
12256,SBSdw1/01,NA
12260,SBSdw1/02,NA
12263,SBSdw1/03,NA
12269,SBSdw1/04,NA
12272,SBSdw1/05,CAsp
12275,SBSdw1/06,NA
12278,SBSdw1/07,NA
12281,SBSdw1/08,Fh
12283,SBSdw1/09,NA
12287,SBSdw2/01,NA
12292,SBSdw2/02,NA
12295,SBSdw2/03,NA
12297,SBSdw2/04,NA
12300,SBSdw2/05,CAsp
12303,SBSdw2/06,NA
12307,SBSdw2/07,NA
12311,SBSdw2/08,NA
12316,SBSdw2/09,NA
12322,SBSdw2/10,NA
12325,SBSdw2/11,NA
12329,SBSdw3/01,NA
12332,SBSdw3/02,NA
12336,SBSdw3/03,NA
12338,SBSdw3/04,NA
12341,SBSdw3/05,NA
12347,SBSdw3/06,NA
12351,SBSdw3/07,NA
12353,SBSdw3/08,NA
12359,SBSdw3/09,NA
12363,SBSdw3/10,NA
12367,SBSmc1/01,NA
12376,SBSmc1/02,NA
12382,SBSmc1/03,NA
12388,SBSmc1/04,CA
12394,SBSmc1/05,CA
12396,SBSmc1/06,CA
12399,SBSmc1/07,NA
12402,SBSmc1/08,NA
12410,SBSmc2/01,NA
12416,SBSmc2/02,NA
12424,SBSmc2/03,CA
12430,SBSmc2/04,NA
12433,SBSmc2/05,NA
12436,SBSmc2/06,NA
12440,SBSmc2/07,NA
12444,SBSmc2/08,NA
12449,SBSmc2/09,NA
12453,SBSmc2/10,NA
12461,SBSmc2/11,NA
12469,SBSmc2/12,NA
12473,SBSmc3/01,NA
12476,SBSmc3/02,NA
12478,SBSmc3/03,NA
12480,SBSmc3/04,NA
12482,SBSmc3/05,NA
12486,SBSmc3/06,NA
12488,SBSmc3/07,NA
12490,SBSmc3/08,NA
12492,SBSmc3/09,NA
12494,SBSmh/01,NA
12500,SBSmh/02,NA
12503,SBSmh/03,NA
12505,SBSmh/04,NA
12510,SBSmh/05,NA
12515,SBSmh/06,NA
12519,SBSmh/07,NA
12522,SBSmh/08,Fh
12525,SBSmh/09,NA
12528,SBSmk1/01,NA
12534,SBSmk1/02,NA
12537,SBSmk1/03,NA
12539,SBSmk1/04,NA
12543,SBSmk1/05,NA
12547,SBSmk1/06,CA
12555,SBSmk1/07,NA
12558,SBSmk1/08,NA
12564,SBSmk1/09,NA
12568,SBSmk1/10,NA
12571,SBSmk2/01,NA
12575,SBSmk2/02,NA
12579,SBSmk2/03,NA
12583,SBSmk2/04,CA
12589,SBSmk2/05,NA
12592,SBSmk2/06,Fh
12594,SBSmm/01,NA
12609,SBSmm/02,NA
12614,SBSmm/03,NA
12619,SBSmm/04,NA
12625,SBSmm/05,NA
12631,SBSmm/06,NA
12639,SBSmm/07,NA
12647,SBSmm/08,Fh
12655,SBSmm/09,NA
12663,SBSmw/01,NA
12669,SBSmw/02,NA
12673,SBSmw/03,NA
12679,SBSmw/04,NA
12685,SBSmw/05,CA
12686,SBSmw/06,NA
12689,SBSmw/07,NA
12691,SBSmw/08,NA
12695,SBSmw/09,NA
12698,SBSmw/10,NA
12702,SBSun/d,NA
12717,SBSun/h,NA
12732,SBSun/m,NA
12742,SBSvk/01,NA
12750,SBSvk/02,NA
12754,SBSvk/03,NA
12757,SBSvk/04,NA
12760,SBSvk/05,NA
12764,SBSvk/06,NA
12767,SBSvk/07,NA
12770,SBSvk/08,NA
12772,SBSvk/09,NA
12774,SBSvk/10,NA
12778,SBSwk1/01,NA
12783,SBSwk1/02,NA
12787,SBSwk1/03,NA
12794,SBSwk1/04,NA
12800,SBSwk1/05,NA
12805,SBSwk1/06,CA
12807,SBSwk1/07,NA
12810,SBSwk1/08,NA
12812,SBSwk1/09,NA
12815,SBSwk1/10,NA
12817,SBSwk1/11,NA
12822,SBSwk1/12,NA
12828,SBSwk2/01,NA
12830,SBSwk2/02,NA
12834,SBSwk2/03,NA
12836,SBSwk2/04,CA
12842,SBSwk2/05,NA
12844,SBSwk2/06,NA
12846,SBSwk3/01,NA
12849,SBSwk3/02,NA
12853,SBSwk3/03,NA
12855,SBSwk3/04,NA
12857,SBSwk3/05,CA
12863,SBSwk3/06,NA
12867,SBSwk3/07,NA
12869,SBSwk3/08,NA
12871,SBSwk3a/01,NA
12873,SBSwk3a/02,NA
12877,SBSwk3a/03,NA
12879,SBSwk3a/04,NA
12881,SBSwk3a/05,CA
12886,SBSwk3a/05,NA
12887,SBSwk3a/06,NA
12891,SBSwk3a/07,NA
12895,SBSwk3a/08,Fh
12897,SGcoz/00,NA
12937,SGPun/110,NA
12941,SGPun/111,NA
12945,SGPun/Gg,NA
12959,SWBmk/01,NA
12962,SWBmk/02,NA
12968,SWBmk/03,NA
12972,SWBmk/04,NA
12977,SWBmk/05,NA
12982,SWBmk/06,NA
12984,SWBmk/07,NA
12988,SWBmk/08,NA
12992,SWBmk/09,NA
12997,SWBmks/00,NA
13037,SWBun/d,NA
13052,SWBun/h,NA
13066,SWBun/m,NA
13077,SWBuns/00,NA
13117,SWBvk/d,NA
13132,SWBvk/h,NA
13146,SWBvk/m,NA
13157,SWBvks/00,NA
13197,WJPjuz/101,NA
13203,WJPjuz/103,NA
13207,WJPjuz/110,NA
13211,WJPjuz/111,NA
13215,WJPjuz/Gg,NA
